claim_id,claim_level,hypothesis,claim_text,evidence_grade,scope,effect_or_boundary,supporting_files,literature_difference,allowed_location,reason_or_guardrail
CA01,ABSTRACT_ALLOWED,H2,"Across the five common natural tabular-shift tasks, logistic regression and XGBoost, and blind-random target budgets 25-500, intercept updates became beneficial earlier on average than sigmoid while isotonic retained substantial log-loss harm risk through the tested grid.",A,"five common tasks; two models; four frozen probability updates; budgets 25-500","Intercept mean benefit -0.000103 to +0.008803 with harm 43.1% to 1.0%; sigmoid -0.025451 to +0.008486 with harm 74.0% to 1.7%; isotonic -0.4218 to -0.01722 with harm 99.7% to 73.2%.","reports/H2_SCIENTIFIC_JUDGMENT.md; results/stage2ds/H2_EVIDENCE_STRENGTH.csv","Only the scoped paired natural-shift grid is incremental; the qualitative complexity/sample-size mechanism is prior art.","abstract; main text; supplement","Must retain every task, model, budget, acquisition and method qualifier."
CA02,ABSTRACT_ALLOWED,H3,"No single absolute or relative target-label budget met the prespecified material-improvement condition across the five common tasks, two base models and evaluated probability calibrators in this study.",A,"five common tasks; two models; frozen calibrators; budgets 25-500","Budget 100 represented 0.087%-1.970% of common target pools; key directions retained in 169/170 LOTO and 136/136 LOFO checks.","reports/H3_SCIENTIFIC_JUDGMENT.md; results/stage2ds/SCIENTIFIC_ADJUDICATION_STATUS.json","The general no-one-size-fits-all idea is prior art; the frozen grid and deletion stability are the retained increment.","abstract; main text; supplement","Must say in this study or on the tested grid and keep College separate."
CA03,ABSTRACT_ALLOWED,H5,"Among joint-success pairs in 50 primary task-model-budget cells, the Mondrian-minus-Standard median worst-class-coverage difference was positive while finite-threshold availability and prediction-set expansion varied strongly with label-blind random target budgets 25-500.",A,"five primary tasks; two models; Standard versus Mondrian; budgets 25-500","Joint-success conditional worst-class-coverage difference +0.1285 to +0.3541; set-size difference +0.3280 to +0.1975; available-attempt finite-threshold rate 0.3007 to 1.0000.","reports/H5_SCIENTIFIC_JUDGMENT.md; results/stage2ds/H5_ADJUDICATION_SUMMARY.json","The trade-off is prior art; only the paired natural-tabular total-budget response is retained.","secondary abstract sentence; main text; supplement","State that metric differences condition on joint success, the primary summary retains infinite thresholds, and feasibility/set cost are reported separately; no superiority wording."
CM01,MAIN_TEXT_ALLOWED,H2,"Jeffreys smoothing increased low-budget intercept availability but did not show a clear performance advantage over the unsmoothed intercept update.",B,"five common tasks; two models; budgets 25-500","Operational availability boundary, not a new method contribution.","reports/H2_SCIENTIFIC_JUDGMENT.md; results/stage2ds/FINDING_EVIDENCE_GRADES.csv","Supports failure-handling transparency rather than novelty.","main text; supplement","Do not promote smoothing as a general performance improvement."
CM02,MAIN_TEXT_ALLOWED,H3,"College is a separate small-domain stress case because its target pool supports only the lower budgets and budget 100 consumes about 96% of its adaptation pool.",A,"college_scorecard_2018 only","Cannot be pooled with the common-five 250/500 curves.","reports/H3_SCIENTIFIC_JUDGMENT.md; data/FINAL_DATASET_REGISTRY.csv","A scope stress test rather than cross-task confirmation.","main text scope or discussion; supplement","Never average College into the full common-five budget curve."
CM03,MAIN_TEXT_ALLOWED,H1,"The frozen audit reports class-support, method-eligibility and finite-Mondrian-threshold rates to define when comparisons were operationally available.",B,"all six tasks; design-level model strata; budgets 25-500","Task-equal support-rate gap 0.002433; predicted/empirical finite-threshold means 0.779157/0.779643.","reports/H1_SCIENTIFIC_JUDGMENT.md; results/stage2ds/H1_RATE_LEVEL_SUMMARY.json","Finite-threshold mathematics is prior art; the operational ledger is the retained role.","methods boundary; main text; supplement","Model strata are design duplicates and not independent replications."
CM04,MAIN_TEXT_ALLOWED,H4,"In the frozen natural-tabular comparisons, small AUROC change did not rule out deterioration in both Brier score and log loss.",B,"primary source-to-target pairs; five common tasks at threshold 0.01; two models","17/17 pairs below absolute AUROC change 0.01 and 32/32 below 0.02 worsened in both proper scores.","reports/H4_SCIENTIFIC_JUDGMENT.md; results/stage2ds/H4_ADJUDICATION_SUMMARY.json","This is a cross-task quantification of a known evaluation distinction.","motivation; auxiliary result; supplement","Strong correlations remain; do not claim independence or causality."
CM05,MAIN_TEXT_ALLOWED,SIMULATION,"Simulation partially supports the complexity and conformal mechanisms but does not reproduce the persistent high-budget real-task isotonic harm pattern.",C,"frozen simulation scenarios only","Mechanism context with explicit real-simulation disagreement.","reports/SIMULATION_REAL_ALIGNMENT.md","No external validation and no independent task support.","main text limitation or supplement","Must report the mismatch; cannot be an abstract contribution."
CS01,SUPPLEMENT_ONLY,H1,"Known-composition class-support probabilities tracked empirical support rates at the corrected rate level, while algorithm eligibility added no loss beyond method-specific class support.",A,"six tasks; retrospective true-composition reference","Algorithm-minus-class-support min and max both 0.0.","results/stage2ds/H1_RATE_LEVEL_SUMMARY.json; reports/H1_SCIENTIFIC_JUDGMENT.md","Technical validation only.","supplement","Do not use run-level binary-event MAE/RMSE as probability-versus-rate calibration error."
CS02,SUPPLEMENT_ONLY,H2/H3,"Detailed leave-one-task-out and leave-one-family-out direction tables document deletion stability of the frozen H2/H3 conclusions.",A,"five common tasks; four source families; two models","169/170 and 136/136 aggregate key directions retained.","results/stage2ds/SCIENTIFIC_ADJUDICATION_STATUS.json","Robustness support, not extra independent discoveries.","supplement","Deletion checks do not establish population-level universality."
